frac_rete,frac_ksi,ksi_km
1.8821675243657536e-05,0.0026968158312873185,314.01775280316764
4.210003450381947e-05,0.005196127675892505,238.42191862517413
8.100125736779193e-05,0.007837860112048532,150.8008094216462
0.00010196227502610241,0.009075421588754871,131.1090032706588
0.000120146694252336,0.010159548808692322,126.23598148895394
0.0001617265628391905,0.012326814020919312,115.74628084144904
0.0001795481542206345,0.013227566882131187,104.88383597694828
0.00020020133731483384,0.014200164929079422,104.5741866820889
0.00022820230315001894,0.015449600312251637,99.08750351727704
0.0002573307473237671,0.016605693038391784,88.13602870403408
0.0002756204249442295,0.017356769528951262,87.45549066144207
0.00030142062609851396,0.018357679248091976,86.14893481304934
0.0003436245532612276,0.019985198686769977,85.6350226880923
0.0003534094025291464,0.020702616889018696,83.53631311289536
0.00037626647033599166,0.021556104355632273,82.91912849104186
0.00040062525076285535,0.022396451004252686,76.60921802000549
0.0004105136343605419,0.023053941373228595,76.55830470892215
0.0004440113798094881,0.024146853055639534,72.45153445339665
0.000466481080663417,0.024861385998726556,70.61599185559376
0.00048398221676488977,0.025467078808826215,70.52698701555012
0.0005339488496581276,0.027052359595882553,70.45376544438274
0.0005654976700903132,0.02803852186763281,69.41340596631582
0.0005873531680902045,0.02871032993578601,68.25942193225639
0.0006380500675099234,0.03025019645026429,67.44966135824434
0.0006688401056169478,0.03114176784842711,64.30192861187176
0.0006871447684635648,0.03168823454159704,63.63068659719524
0.000745886098773361,0.03336712440516844,63.46825046012942
0.0007575374186150494,0.03390942077270009,63.14509307976117
0.0007780786739194425,0.034488355284633364,62.58648439275561
0.0007841336885669576,0.03501506697668148,61.33041047640022
0.0007955923399565318,0.03554088007682587,61.225778262725974
0.0008221173828513562,0.036257924880382396,60.02999338640458
0.0008402905841210135,0.03676221085586192,58.719155736579935
0.0009612418416987103,0.039935192389895846,58.25527462855947
0.0009891555081071378,0.04066294954102073,57.89588476399113
0.0010147307120059578,0.04132626117779459,57.59391606830991
0.0010245155612738767,0.04181608421656785,57.03508861165926
0.0010472000016975567,0.04237533201775504,54.74624192146807
0.001067117871449265,0.042855462194822856,53.52962642903119
0.0010819517148654377,0.043298927691513604,51.63720751746501
0.0010922785586931858,0.04373793900479835,51.11856154709649
0.001117062034971704,0.04430671480957107,50.96323502047945
0.0011673446984147033,0.04543522237316529,49.83842369181323
0.0011785107272067677,0.04586158909087948,49.64622241288248
0.001206286468331256,0.046479997894061355,49.44109776232306
0.0012394161190174312,0.047213201787696696,49.14575410831499
0.0012912289957238623,0.04832792382035866,47.7756910107261
0.001313216943764778,0.048796486479526516,47.32177990339364
0.001321683574737078,0.049199311535853434,46.90502684427221
0.0013596755704654807,0.04999978884658414,46.78805764876191
0.001380475869273013,0.05043697792632597,46.67430170326619
0.0014220811293127154,0.05129396859897952,45.7410312772774
0.0014735585425927232,0.05234986415991663,45.54936700635209
0.0014951499381094758,0.05279261620074174,45.53632272021404
0.0015075385924604241,0.05318215968136579,45.35851762124116
0.0015297232175537142,0.05362795639357299,44.62342131898325
0.0015548882205730548,0.05413196083943764,44.47495098833753
0.001602872030387154,0.055091774796772464,44.41916921450757
0.0016183499338704426,0.055471303678743075,44.192415832645615
0.0016357481229558237,0.055847775600024234,43.83646274346018
0.0016997937277468615,0.057096619799727605,43.30091040993276
0.0017167637272537525,0.05746202924109773,42.548345460184734
0.0017345467064436722,0.05782542153269637,42.31346815378359
0.001747417631353911,0.05818725352277782,42.13178634576566
0.00178273350547608,0.05885693951060586,42.10942871119284
0.0018443776126154813,0.06002490808267378,42.07437639973346
0.0019200361279436734,0.06145424718903828,41.952279063733975
0.001942220753036963,0.061872689951571413,41.88534185895181
0.00196191965308104,0.06224020074809512,41.42916909375885
0.0019981577957496333,0.06291349258590123,41.258697802702144
0.0020261158107566517,0.06343152645147308,41.1462173488668
0.002061790151221072,0.06409176549474717,41.0982517018675
0.0020985302420215013,0.06477157276094642,41.08882050333841
0.0021053404164357273,0.06512416452063206,41.055852145658584
0.002142034837841836,0.0658022607421668,41.03641166100733
0.0021623451520281496,0.06617708312889438,40.981417650555706
0.0021830090389223867,0.06655253352389848,40.34768737626671
0.0022018424398813088,0.06689863413373265,40.30002141156723
0.0022079946457207443,0.06724443729378093,40.26538630142952
0.002228033060666499,0.06760259493112263,39.69071738175322
0.00225722637173338,0.06812137287787852,39.46174161921857
0.0022791623128078304,0.06850830933401526,39.17071297246957
0.0022993610852193066,0.06886446381034869,39.155387735470875
0.0023119336785937567,0.06920022011515296,39.09552854923879
0.002336475565852376,0.06963186699592469,39.056987955440135
0.002360994607585126,0.07006231677620521,38.98496020439646
0.002384234403049349,0.07046875014844343,38.83605940961569
0.0024557379427266463,0.07171866850724684,38.81791486216092
0.002483456660250581,0.07220303050852087,38.803869007698154
0.00251502070594662,0.07275432583002495,38.78553095085119
0.002556913702754557,0.07348568634880699,38.76753440204022
0.002634283369785819,0.07483474208413217,38.72017062308227
0.0026455743766879087,0.07516619980787796,38.595000946067884
0.002669081609460034,0.0755719863259725,38.33312308882046
0.002688301553749545,0.0759035615021332,38.30963217010565
0.002705012939425257,0.0762309806277507,38.1247458051685
0.002761950840931705,0.07720277829816351,37.901159324023666
0.0027824920962360978,0.07755196214195802,37.7489832431447
0.002789352905882154,0.0778746343228502,37.572010650610004
0.0028156254366991187,0.07831876915462066,37.539719395764585
0.0028289429895159233,0.07864098085565115,37.51839228716675
0.002832879209160588,0.07896258208282107,37.4473085937188
0.002858613066155254,0.0793956940787584,37.37433095041605
0.002894503070987165,0.07999965874862323,37.36939916618796
