id_intervento,tipo,nome,fase,fase_orig,data_stato,data_attivazione,data_fine
Velox:7253f0acc9,velox,VLX-11033 BIS,pianificato,approvato,placeholder,,
Velox:a003615e72,velox,VLX-11009,pianificato,approvato,placeholder,,
Velox:91ec550f9b,velox,VLX-11004 BIS,pianificato,approvato,placeholder,,
Velox:ec07079c77,velox,VLX-11005,pianificato,approvato,placeholder,,
Velox:41c00ba57d,velox,VLX-11004,pianificato,approvato,placeholder,,
Velox:c05750ff30,velox,VLX-11007 BIS,pianificato,approvato,placeholder,,
Velox:df05a268e8,velox,VLX-11005 BIS,pianificato,approvato,placeholder,,
Velox:ab3dcd96b2,velox,VLX-11003,pianificato,approvato,placeholder,,
Velox:7101e9946c,velox,VLX-11008,pianificato,approvato,placeholder,,
Velox:d0c169b4d9,velox,VLX-11008,pianificato,approvato,placeholder,,
Velox:c6811826aa,velox,VLX-12002,da_definire,,placeholder,,
Velox:9670905e5e,velox,VLX-12002 BIS,da_definire,,placeholder,,
Velox:2638eef05f,velox,VLX-12002 TRIS,da_definire,,placeholder,,
Velox:e8994362e5,velox,VLX-12002 QUATER,da_definire,,placeholder,,
Velox:e030525f3b,velox,xxx,pianificato,approvato,placeholder,,
Velox:a06a075167,velox,xxxx,pianificato,aprovato,placeholder,,
Velox:dd5725ce5b,velox,VLX-12001 bis,da_definire,,placeholder,,
Velox:abe4c70cd6,velox,VLX-12001,pianificato,approvato,placeholder,,
Velox:ea3ab3edb2,velox,VLX-12003,da_definire,,placeholder,,
Velox:81d8fbe717,velox,,pianificato,approvato,placeholder,,
Velox:1628b22dc2,velox,xxx,pianificato,approvato,placeholder,,
Velox:c65c0ac03d,velox,VLX-13003,pianificato,approvato,placeholder,,
Velox:6335822fb0,velox,VLX-13001,pianificato,approvato,placeholder,,
Velox:dec3a7e448,velox,,pianificato,approvato,placeholder,,
Velox:7ef360a2ac,velox,,pianificato,approvato,placeholder,,
Velox:366bd951cf,velox,VLX-14003bis,pianificato,approvato,placeholder,,
Velox:caf4813dde,velox,VLX-14001,pianificato,approvato,placeholder,,
Velox:6fb73f6c3e,velox,VLX-14003,pianificato,approvato,placeholder,,
Velox:1519d095ae,velox,VLX-14001 BIS,pianificato,approvato,placeholder,,
Velox:db3166e5d2,velox,vlx-14002,pianificato,approvato,placeholder,,
Velox:931dcfce7a,velox,VLX-14002BIS,pianificato,approvato,placeholder,,
Velox:21120157de,velox,VLX-15001,pianificato,approvato,placeholder,,
Velox:c6479e1c94,velox,VLX-15001 BIS,pianificato,approvato,placeholder,,
Velox:b7bae1e1c0,velox,,pianificato,aggiunto,placeholder,,
Velox:4c3f0ebc87,velox,Velox 1,realizzato,realizzato,placeholder,,
Velox:a5cc5dd902,velox,Velox 2,realizzato,realizzato,placeholder,,
Velox:285d9de61c,velox,tutor 1 igresso,realizzato,realizzato,placeholder,,
Velox:86672e2af5,velox,Tutor 2 uscita,realizzato,realizzato,placeholder,,
Velox:fad07f6f0c,velox,Tutor 1 uscita,realizzato,realizzato,placeholder,,
Velox:84ab15be49,velox,Tutor 2 ingresso,realizzato,realizzato,placeholder,,
Velox:ca2a3601ce,velox,VLX-02003bis,pianificato,approvato,placeholder,,
Velox:51e8b31fe7,velox,VLX,da_definire,,placeholder,,
Velox:de2529d165,velox,VLX,da_definire,,placeholder,,
Velox:fd393ea756,velox,vlx,pianificato,aggiunto,placeholder,,
Velox:46130530ce,velox,vlx,pianificato,aggiunto,placeholder,,
Velox:52b9d7dcca,velox,vlx,pianificato,aggiunto,placeholder,,
Velox:ae11b011db,velox,VLX,pianificato,aggiunto,placeholder,,
Velox:82414b262c,velox,,pianificato,aggiunto,placeholder,,
Velox:757d6f62c6,velox,,pianificato,approvato,placeholder,,
Velox:0b5de8390f,velox,,da_definire,,placeholder,,
Velox:13155e1005,velox,,da_definire,,placeholder,,
Velox:e7f44e597d,velox,,da_definire,,placeholder,,
Velox:8635ef2cdb,velox,,da_definire,,placeholder,,
Isole_Ambientali:076105ae41,isola_ambientale,Centocelle,da_definire,,placeholder,,
